Регіон;Рік;Середній бал з англійскої мови
Вінницька область;2019;144.2816091954023
Вінницька область;2020;146.28309265944645
Волинська область;2019;149.53493834409866
Волинська область;2020;148.98235887096774
Дніпропетровська область;2019;143.01909454881428
Дніпропетровська область;2020;144.7807594936709
Донецька область;2019;140.41530740276036
Донецька область;2020;141.4626119010005
Житомирська область;2019;143.7922077922078
Житомирська область;2020;144.3374074074074
Закарпатська область;2019;144.6187134502924
Закарпатська область;2020;146.01600753295668
Запорізька область;2019;142.5653166001141
Запорізька область;2020;144.5391959798995
Івано-Франківська область;2019;147.4249775381851
Івано-Франківська область;2020;150.5200823892894
Київська область;2019;142.94407800401493
Київська область;2020;145.96582498911624
Кіровоградська область;2019;144.66349809885932
Кіровоградська область;2020;145.68538011695907
Луганська область;2019;139.08990825688073
Луганська область;2020;140.03985239852398
Львівська область;2019;150.25003563791876
Львівська область;2020;151.87167356593733
м.Київ;2019;155.56890931884664
м.Київ;2020;155.13377926421404
Миколаївська область;2019;141.52469135802468
Миколаївська область;2020;142.39846088071826
Одеська область;2019;143.7979300147856
Одеська область;2020;144.96730523627076
Полтавська область;2019;146.25895087427145
Полтавська область;2020;146.60500352360816
Рівненська область;2019;144.83370288248338
Рівненська область;2020;147.8226232394366
Сумська область;2019;143.71140142517814
Сумська область;2020;145.8170478170478
Тернопільська область;2019;146.57004002287022
Тернопільська область;2020;149.9585398828301
Харківська область;2019;146.7976888293418
Харківська область;2020;148.14274385408407
Херсонська область;2019;141.55096097845077
Херсонська область;2020;142.90807675145024
Хмельницька область;2019;145.46082337317398
Хмельницька область;2020;145.90513833992094
Черкаська область;2019;144.27413127413126
Черкаська область;2020;147.0854017669331
Чернівецька область;2019;150.13958333333332
Чернівецька область;2020;149.67520117044623
Чернігівська область;2019;144.1514657980456
Чернігівська область;2020;147.79261777561922
